1. Faixa etária:;2. Gênero:;3. Universidade pública do Estado do Paraná em que atua:;5. Área principal de atuação docente:;7. Tempo de docência no Ensino Superior (não somente na atual IES):;8. Maior titulação acadêmica concluída:;9. Minha formação inicial abordou adequadamente o uso pedagógico de tecnologias digitais educacionais.;10. Sinto-me preparado(a) para incorporar novas tecnologias digitais educacionais às minhas práticas docentes.;11. Já tive contato formativo com o tema Inteligência Artificial aplicada à educação.;12. Nos últimos 24 meses, participei de formações continuadas em tecnologias educacionais.;13. Tenho uma compreensão clara do que é Inteligência Artificial e de como ela funciona em termos gerais.;14. Conheço a diferença entre Inteligência Artificial tradicional (preditiva) e Inteligência Artificial generativa (criativa).;15. Já utilizei ferramentas de IA generativa em contextos pessoais ou profissionais.;16. Sinto-me confiante para avaliar criticamente respostas ou conteúdos gerados por ferramentas de IA.;17. Considero que a IA terá impacto significativo no ensino superior nos próximos anos.;18. Quais ferramentas de IA você já utilizou ao menos uma vez?  ;19. Para quais finalidades você usa IA?  ;20. Utilizo ferramentas de IA para apoiar o planejamento de aulas e atividades didáticas.;21. Utilizo IA para criar ou adaptar materiais didáticos considerando o perfil dos estudantes.;22. Integro a IA em atividades de ensino alinhadas a objetivos pedagógicos claros.;23. Utilizo IA para apoiar processos de avaliação formativa (feedback, rubricas, análise de produções).;24. Consigo identificar limites, riscos e implicações éticas do uso da IA em processos avaliativos.;25. Considero aspectos éticos (viés, privacidade, autoria) ao utilizar IA em contextos educacionais.;26. Discuto com meus estudantes o uso responsável e crítico da IA.;27. Busco ativamente atualizar-me sobre IA e suas implicações para a educação.;28. Compartilho, discuto ou oriento colegas sobre práticas pedagógicas envolvendo IA.;29. A formação docente em IA generativa pode contribuir para a melhoria da qualidade do ensino superior.;30. O uso pedagógico adequado da IA pode tornar as aulas mais engajadoras e significativas.;31. A formação em IA pode apoiar práticas pedagógicas mais inclusivas e personalizadas.;32. Sem formação adequada, o uso da IA pode gerar impactos negativos na educação superior.;33. Existe alguma orientação/política institucional (ou do curso/departamento) sobre uso de IA por docentes e estudantes na IES onde atua?  ;"34. Na sua opinião, qual é a principal dificuldade para a adoção, o uso, de IA no ensino superior? 
(Marque até 2 opções)";35. Se você pudesse participar de uma formação docente, qual seria o seu formato preferido?;36. Qual a quantidade de horas que você acha ideal ter para uma formação docente (independente do formato)?;37. Quais são, em sua opinião, as principais dificuldades para o uso pedagógico da IA no ensino superior?;38. Quais conhecimentos ou competências você considera prioritários em uma formação docente sobre IA e IA generativa, no contexto universitário?;39. Como você acredita que uma formação em IA pode impactar sua prática docente e a aprendizagem dos estudantes universitários?
Até 30 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Humanas e Sociais;Menos de 2 anos;Doutorado;3;4;5;Apenas 1;4;1;1;4;5;ChatGPT, Copilot, Gemini;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios;6;6;6;5;6;6;6;6;6;5;5;5;5;Não existe;Falta de formação docente específica;Totalmente remoto (online);40 horas;Formação docente específica;Uso ético e funcional da IA;Trazendo práticas pedagógicas inovadoras e auxiliando nas flexibilizações curriculares
31 a 40 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Exatas e Tecnológicas;6 a 10 anos;Doutorado;1;4;1;Nenhuma;5;5;5;5;5;ChatGPT, Copilot, Gemini, Claude;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica;3;4;2;5;5;5;4;5;0;5;5;5;2;Não existe;Falta de tempo para explorar ferramentas, Resistência institucional ou pessoal;Totalmente remoto (online);20 horas;Tempo;Básico;Seu uso é inevitável de modo que é necessário aprender a melhor forma de utilizar o quanto antes
Acima de 60 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;1;1;Nenhuma;4;1;3;3;5;ChatGPT, Gemini;Planejamento de aula, Elaboração de atividades/exercícios, Pesquisa acadêmica;1;1;0;1;3;0;2;2;2;5;4;4;3;Não existe;Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas;Totalmente presencial;20 horas;Preconceito, falta de conhecimento e defasagem tecnológica;Formação específica;Diminuindo o tempo para exposição de conteúdos e acesso ao basico, permitindo ampliar tempo de reflexão e criação de idéias e produtos
Acima de 60 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;3;5;3;Nenhuma;5;5;5;3;5;ChatGPT, Copilot;Pesquisa acadêmica;0;0;0;0;3;3;2;3;3;4;4;3;3;Não sei informar;Questões éticas e insegurança quanto ao uso;Híbrido;30 horas;Problemas éticos ;Como ajustar a IA para melhor aproveitamento ;É mais uma ferramenta 
31 a 40 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Linguagens, Letras e Artes;11 a 20 anos;Doutorado;1;3;3;Nenhuma;3;3;4;3;4;ChatGPT, Gemini;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Comunicação administrativa;2;2;2;2;3;2;3;2;1;3;3;3;5;Não sei informar;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;40 horas;Falta de formação e preparo dos profissionais;Já participei de discussões sobre questões éticas, mais teóricas, mas acredito que precisamos de atividades mais práticas, voltadas para como usar;Pode tornar as aulas mais adequadas ao público contemporâneo, que usa IA, muitas vezes de forma questionável.
41 a 50 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Multidisciplinar / Outra;11 a 20 anos;Doutorado;1;2;2;Apenas 1;4;1;3;2;5;ChatGPT, Copilot, Gemini, Perplexity;Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica;2;2;1;2;1;2;2;2;2;3;3;3;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;Tempo para compreender o uso das IA e saber selecionar a mais adequada para cada fim. Ter acesso aos pacotes pago e não somente a versão gratuita que tem uso restrito. ;Saber selecionar a IA correta, ter clareza sobre as questões éticas, saber como usar para poder orientar os alunos, saber usar par aos fins de docência. ;Tenho dúvidas ainda, não confio nas informações que são apresentadas pela IA. Mas, creio que com boa orientação e com as ferramentas corretas pode aprimorar o aprendizado e dar mais velocidade ao planejamento de aulas e pesquisas. 
31 a 40 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Multidisciplinar / Outra;11 a 20 anos;Doutorado;1;1;2;Nenhuma;2;1;4;2;5;ChatGPT, Gemini;Elaboração de atividades/exercícios, Pesquisa acadêmica, Comunicação administrativa;2;0;0;2;2;2;0;0;0;5;5;5;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);20 horas;"Falta de conhecimento; Compreensão precária de como, onde e quando usar.";"Conhecimentos básicos; Implicações éticas; Metodologias";"Facilitar o acesso ao aprendizado; Agilizar as tarefas burocráticas (elaboração de lista de  exercícios); Dedicar mais tempo e atenção ao desenvolvimento de relações com os alunos."
51 a 60 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;1;3;1;Nenhuma;3;2;4;1;5;ChatGPT, Copilot;Planejamento de aula, Pesquisa acadêmica;0;0;0;0;0;1;0;1;0;4;3;3;4;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Totalmente presencial;40 horas;Falta de comprometimentos do aluno com o aprendizado;Não tenho conhecimentos para responder.;Todo conhecimento é válido.
Acima de 60 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;4;4;Apenas 1;4;1;4;3;4;ChatGPT, Gemini;Pesquisa acadêmica, Orientação de estudantes;2;2;3;3;4;4;4;4;4;4;4;4;5;Sim, mas pouco clara;Falta de formação docente específica, Falta de infraestrutura tecnológica;Híbrido;40 horas;Falta de formação e de recursos tecnológicos;Conceitos claros, ética, operacionalização em diversos contextos;Ampliando conhecimentos, estimulando reflexão crítica
Acima de 60 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;4;5;5;2 - 3;5;4;4;4;5;ChatGPT, Gemini;Planejamento de aula, Elaboração de atividades/exercícios, Pesquisa acadêmica;3;4;3;4;4;4;4;4;4;5;5;5;5;Não existe;Falta de infraestrutura tecnológica;Híbrido;mais de 40 horas;assinaturas de softwares;conhecer os modelos de linguagens;otimizar o tempo
